,Non-survived,Survived,
0,22,38,
1,35,26,
2,54,35,
3,2,27,
4,20,14,
5,39,4,
6,14,58,
7,2,55,
8,31,34,
9,35,15,
10,8,28,
11,19,38,
12,40,14,
13,66,3,
14,28,19,
15,42,49,
16,21,29,
17,18,21,
18,40,5,
19,27,38,
20,18,29,
21,7,17,
22,21,32,
23,65,0.83,
24,28.5,30,
25,11,29,
26,22,17,
27,45,33,
28,4,23,
29,19,23,
30,26,34,
31,32,21,
32,16,32.5,
33,21,12,
34,26,24,
35,25,29,
36,22,19,
37,28,22,
38,16,24,
39,24,27,
40,29,22,
41,20,16,
42,46,40,
43,26,9,
44,59,1,
45,71,1,
46,34,4,
47,28,45,
48,21,32,
49,33,19,
50,37,3,
51,28,44,
52,38,58,
53,47,18,
54,14.5,26,
55,22,16,
56,20,40,
57,17,35,
58,21,31,
59,70.5,27,
60,29,32,
61,24,16,
62,2,38,
63,21,19,
64,32.5,35,
65,54,5,
66,45,8,
67,33,24,
68,20,37,
69,47,29,
70,25,30,
71,23,35,
72,37,50,
73,16,3,
74,24,25,
75,19,58,
76,18,35,
77,19,25,
78,9,41,
79,36.5,63,
80,42,35,
81,51,19,
82,55.5,30,
83,40.5,42,
84,51,22,
85,30,26,
86,44,19,
87,26,50,
88,17,0.92,
89,1,17,
90,45,30,
91,28,24,
92,61,18,
93,4,26,
94,21,24,
95,56,31,
96,18,40,
97,50,30,
98,30,22,
99,36,36,
100,9,36,
101,40,31,
102,36,16,
103,19,41,
104,42,45,
105,24,2,
106,28,24,
107,34,24,
108,45.5,40,
109,2,3,
110,32,22,
111,24,60,
112,22,24,
113,30,25,
114,42,22,
115,30,42,
116,27,1,
117,51,35,
118,22,36,
119,20.5,17,
120,18,36,
121,29,21,
122,59,23,
123,24,24,
124,44,28,
125,19,39,
126,33,3,
127,29,33,
128,22,44,
129,30,34,
130,44,18,
131,25,28,
132,54,19,
133,29,32,
134,62,28,
135,30,42,
136,41,14,
137,52,24,
138,40,45,
139,36,28,
140,16,4,
141,37,13,
142,45,34,
143,7,5,
144,65,52,
145,28,49,
146,16,29,
147,33,50,
148,22,48,
149,36,0.75,
150,24,33,
151,24,23,
152,23.5,2,
153,2,63,
154,19,25,
155,30,35,
156,26,9,
157,28,54,
158,43,16,
159,54,33,
160,22,26,
161,27,29,
162,61,36,
163,45.5,54,
164,38,34,
165,16,36,
166,29,30,
167,45,44,
168,28,50,
169,25,2,
170,36,7,
171,42,30,
172,23,22,
173,15,36,
174,25,32,
175,28,19,
176,38,8,
177,40,17,
178,29,22,
179,45,22,
180,35,48,
181,30,39,
182,18,36,
183,19,32,
184,22,62,
185,3,53,
186,27,36,
187,20,34,
188,19,39,
189,32,32,
190,18,25,
191,1,39,
192,28,18,
193,22,60,
194,31,52,
195,46,49,
196,23,24,
197,26,35,
198,21,27,
199,28,22,
200,20,40,
201,34,24,
202,51,4,
203,21,42,
204,30,20,
205,10,21,
206,21,80,
207,29,32,
208,28,28,
209,18,24,
210,17,0.75,
211,50,48,
212,21,56,
213,64,23,
214,31,18,
215,20,50,
216,25,20,
217,36,40,
218,30,31,
219,65,18,
220,34,36,
221,47,27,
222,48,15,
223,38,31,
224,56,4,
225,38,18,
226,22,35,
227,34,45,
228,29,42,
229,22,22,
230,9,24,
231,50,48,
232,58,38,
233,30,27,
234,21,6,
235,55,27,
236,71,30,
237,21,29,
238,25,35,
239,24,21,
240,17,31,
241,21,30,
242,37,4,
243,18,6,
244,28,48,
245,24,0.67,
246,47,33,
247,32,20,
248,22,36,
249,40.5,51,
250,39,54,
251,23,5,
252,17,43,
253,30,13,
254,45,17,
255,9,18,
256,11,1,
257,50,49,
258,64,31,
259,33,31,
260,27,11,
261,62,0.42,
262,40,27,
263,28,33,
264,24,52,
265,19,27,
266,29,27,
267,16,1,
268,19,62,
269,54,15,
270,36,0.83,
271,47,39,
272,22,32,
273,35,30,
274,47,16,
275,37,18,
276,36,45,
277,49,51,
278,44,24,
279,36,48,
280,30,42,
281,39,27,
282,35,4,
283,34,47,
284,26,28,
285,26,15,
286,27,56,
287,21,25,
288,21,19,
289,61,26,
290,57,,
291,26,,
292,51,,
293,9,,
294,32,,
295,31,,
296,41,,
297,20,,
298,2,,
299,19,,
300,21,,
301,18,,
302,24,,
303,32,,
304,23,,
305,58,,
306,40,,
307,47,,
308,36,,
309,32,,
310,25,,
311,43,,
312,31,,
313,70,,
314,18,,
315,24.5,,
316,43,,
317,20,,
318,14,,
319,60,,
320,25,,
321,14,,
322,19,,
323,18,,
324,25,,
325,60,,
326,52,,
327,44,,
328,49,,
329,42,,
330,18,,
331,25,,
332,26,,
333,39,,
334,29,,
335,52,,
336,19,,
337,33,,
338,17,,
339,34,,
340,50,,
341,20,,
342,25,,
343,25,,
344,11,,
345,23,,
346,23,,
347,28.5,,
348,48,,
349,36,,
350,24,,
351,70,,
352,16,,
353,19,,
354,31,,
355,33,,
356,23,,
357,28,,
358,18,,
359,34,,
360,41,,
361,16,,
362,30.5,,
363,32,,
364,24,,
365,48,,
366,57,,
367,18,,
368,29,,
369,25,,
370,25,,
371,8,,
372,46,,
373,16,,
374,25,,
375,39,,
376,30,,
377,30,,
378,34,,
379,31,,
380,39,,
381,18,,
382,39,,
383,26,,
384,39,,
385,35,,
386,6,,
387,30.5,,
388,23,,
389,31,,
390,43,,
391,10,,
392,38,,
393,2,,
394,23,,
395,18,,
396,21,,
397,20,,
398,16,,
399,34.5,,
400,17,,
401,42,,
402,35,,
403,28,,
404,4,,
405,74,,
406,9,,
407,44,,
408,41,,
409,21,,
410,24,,
411,31,,
412,26,,
413,33,,
414,47,,
415,20,,
416,19,,
417,33,,
418,22,,
419,28,,
420,25,,
421,39,,
422,27,,
423,32,,
,,,
,,,
,424,290,
,30.62617925,28.34368966,
,14.17210988,14.95095198,
,200.8486984,223.5309652,
,0.47369976,0.770796432,1.244496192
,,,1.115569896
,,,
,,,
,2.046030104,,
